id,userId,musical,playwright,composer,lyricist,genre,production_year,plot,pendingNon,Created
1,1,9 to 5,Patricia Resnick,Dolly Parton,Dolly Parton,Pop,2008,"Office satire about three female secretaries who decide to get revenge on their tyrannical, sexist boss by abducting him and running the business themselves. The trio, one of whom has been passed over for promotion because she is a woman, spend a night together having drug-induced fantasies of killing the slave-driving chauvinist. One of them panics the following day when she suspects she really has poisoned the tyrant.",N/A,
2,1,Parade,Alfred Uhry,Jason Robert Brown,Jason Robert Brown,Contemporary Musical Theatre,1998,"Parade tells the heart-wrenching, true story of Leo Frank: a Brooklyn-raised Jewish man living in Atlanta who was wrongfully convicted of the rape and murder of his thirteen-year-old employee, Mary Phagan, in 1913. ... Despite this ruling, a lynch mob hanged Frank in Mary Phagan's hometown of Marietta, Georgia.",N/A,
3,1,Ragtime,Terrence McNally,Stephen Flaherty,Lynn Ahrens,Jazz,1996,"Ragtime tells the story of three groups in the United States in the early 20th century: African Americans, represented by Coalhouse Walker Jr., a Harlem musician; upper-class suburbanites, represented by Mother, the matriarch of a white upper-class family in New Rochelle, New York; and Eastern European immigrants, represented by Tateh, a Jewish immigrant from Latvia",N/A,
4,1,South Pacific,Oscar Hammerstein II and Joshua Logan,Richard Rodgers,Oscar Hammerstein II,Golden Age Classical Musical Theatre,1949,"On an island in the South Pacific during World War II, Nellie Forbush, a young Navy nurse from Little Rock, Arkansas,meets and falls in love with a gallant, middle-aged Frenchman, Emile de Becque. Emile is a planter and has lived on this particular island for twenty-five years.",N/A,
5,1,The Addams Family,Marshall Brickman and Rick Elice,Andrew Lippa,,Contemporary Character Musical Theatre,2010,"In the kooky, upside-down world of the Addams Family, to be sad is to be happy, to feel pain is to feel joy, and death and suffering are the stuff of their dreams. Nonetheless, this quirky family still has to deal with many of the same challenges faced by any other family, and the spookiest nightmare faced by every family: the Addams kids are growing up. Their dark, macabre, beloved daughter Wednesday, however, is now an eighteen year-old young woman who is ready for a life of her own. She has fallen in love with Lucas Beineke, a sweet, smart boy from a normal, respectable Ohio family — the most un-Addams sounding person one could be! And to make matters worse, she has invited the Beinekes to their home for dinner. In one fateful, hilarious night, secrets are disclosed, relationships are tested, and the Addams family must face up to the one horrible thing they’ve managed to avoid for generations: change.",N/A,
6,1,Music Man,Meredith Wilson,Meredith Wilson,Meredith Wilson,Golden Age Classical Musical Theatre,1957,"The plot concerns con man Harold Hill, who poses as a boys' band organizer and leader and sells band instruments and uniforms to naive Iowa townsfolk, promising to train the members of the new band. Harold is no musician, however, and plans to skip town without giving any music lessons. Prim librarian and piano teacher Marian sees through him, but when Harold helps her younger brother overcome his lisp and social awkwardness, Marian begins to fall in love. Harold risks being caught to win her.",N/A,
7,1,Carousel,Oscar Hammerstein II,Richard Rodgers,Oscar Hammerstein II,Golden Age Classical Musical Theatre,1945,"In a Maine coastal village toward the end of the 19th century, the swaggering, carefree carnival barker, Billy Bigelow, captivates and marries the naive millworker, Julie Jordan. Billy loses his job just as he learns that Julie is pregnant and, desperately intent upon providing a decent life for his family, he is coerced into being an accomplice to a robbery. Caught in the act and facing the certainty of prison, he takes his own life and is sent 'up there.' Billy is allowed to return to earth for one day fifteen years later, and he encounters the daughter he never knew. She is a lonely, friendless teenager, her father's reputation as a thief and bully having haunted her throughout her young life. How Billy instills in both the child and her mother a sense of hope and dignity is a dramatic testimony to the power of love. ",N/A,
8,1,Spring Awakening,Steven Sater,Duncan Sheik,Steven Sater,Rock Musical,2006,"Set in late-19th-century Germany, the musical tells the story of teenagers discovering the inner and outer tumult of teenage sexuality.",N/A,
9,1,Violet,Brian Crawley,Jeanine Tesori,,"American Roots, Folk, Gospel",1997,"It tells the story of a young disfigured woman who embarks on a journey by bus from her farm in Spruce Pine, North Carolina, all the way to Tulsa, Oklahoma in order to be healed.",N/A,
10,1,Wicked,Winnie Holzman,Stephen Schwartz,,Pop Musical Theatre,2003,"The musical is told from the perspective of the witches of the Land of Oz; its plot begins before and continues after Dorothy's arrival in Oz from Kansas, and it includes several references to the 1939 film and Baum's novel. Wicked tells the story of two unlikely friends, Elphaba (the Wicked Witch of the West) and Galinda (whose name later changes to Glinda the Good Witch), who struggle through opposing personalities and viewpoints, rivalry over the same love-interest, reactions to the Wizard's corrupt government and, ultimately, Elphaba's public fall from grace.",N/A,
11,1,American Idiot,Billie Joe Armstrong and Michael Mayer,Green Day and Billie Joe Armstrong,,"Rock Opera, Punk Rock",2009,"The story, expanded from that of the concept album, centers on three disaffected young men, Johnny, Will and Tunny. Johnny and Tunny flee a stifling suburban lifestyle and parental restrictions, while Will stays home to work out his relationship with his pregnant girlfriend, Heather. The former pair look for meaning in life and try out the freedom and excitement of the city. Tunny quickly gives up on life in the city, joins the military and is shipped off to war. Johnny turns to drugs and finds a part of himself that he grows to dislike, has a relationship and experiences lost love.",N/A,
12,1,Hamilton,Lin-Manuel Miranda,Lin-Manuel Miranda,Lin-Manuel Miranda,"Hip-hop, Rap, Pop, Rhythm and Blues, Soul",2013,"The musical is a biography of Alexander Hamilton, based on Ron Chernow’s non-fiction biography. ",N/A,
13,1,Once,John Carney,Glen Hansard and Marketa Irglova,Glen Hansard and Marketa Irglova,"Folk, Folk Rock",2011,"You know the story: Guy meets Girl. But in Once, an unconventional and romantic musical based on the award-winning 2006 film, what follows is not a traditional love story. Guy, a heartbroken musician busking for coins on the streets of Dublin, meets Girl, a Czech immigrant with a complicated history and a broken vacuum cleaner. Despite their differences, Guy and Girl find common ground, a shared language, and genuine love in creating music together.",N/A,
14,1,Annie Get Your Gun,Dorothy and Herbert Fields,Irving Berlin,Irving Berlin,Golden Age Classical Musical Theatre,1946," The story is a fictionalized version of the life of Annie Oakley (1860–1926), a sharpshooter who starred in Buffalo Bill's Wild West, and her romance with sharpshooter Frank E. Butler (1847–1926).",N/A,
